1,0,4.0832,0.96769,,
2,1,2.6328,1.2398,0,0,1
3,1,3.1326,0.38393,0,0,1
4,0,1.8846,0.3057,0,0,1
5,0,4.1692,1.9304,1,0,0
6,0,3.7515,1.1136,0,0,1
7,0,2.7628,0.39613,0,0,1
8,1,1.8765,0.44242,0,1,0
9,0,2.6206,0.59642,0,0,1
10,0,4.3071,0.59179,0,0,1
11,1,3.9052,0.44569,0,0,0
12,0,1.1737,0.83063,1,0,0
13,1,3.1583,0.48776,0,0,0
14,0,1.34,0.79089,1,0,0
15,1,2.153,0.29072,0,1,0
16,0,2.2086,0.47253,1,0,0
17,0,4.818,0.53827,0,0,1
18,1,1.906,0.35284,0,0,1
19,0,3.8041,0.40606,0,0,0
20,0,4.156,0.39096,0,0,1
21,1,2.8593,0.44983,0,1,0
22,1,2.2375,0.068797,0,1,0
23,1,3.3553,0.52574,0,1,0
24,1,1.5109,0.77929,0,1,0
25,0,2.5576,0.37544,0,0,1
26,1,3.0153,0.52714,0,1,0
