1,0,1.8291,0.71632,,
2,1,2.9718,2.7174,0,1,0
3,0,2.2453,0.28348,0,0,1
4,1,4.8266,0.23373,0,1,0
5,1,2.2124,0.33933,0,0,1
6,0,1.6579,0.60841,0,0,1
7,0,0.77384,2.3274,0,0,1
8,1,3.5939,0.63475,0,1,0
9,1,4.1857,0.5387,0,1,0
10,0,8.2411,5.3514,0,0,1
11,0,6.3978,0.59011,0,0,1
12,0,1.4006,0.90511,1,0,0
13,1,4.5299,0.37277,0,0,1
14,1,10.051,0.48919,0,0,1
15,1,3.0372,0.44382,0,1,0
16,1,5.5431,0.20996,0,1,0
17,0,3.4644,1.1659,0,0,1
18,0,1.4558,0.33396,1,0,0
19,0,11.0645,0.49398,0,0,1
20,0,4.5732,0.75871,1,0,0
21,1,4.7992,0.37515,0,1,0
22,1,4.4432,0.28237,0,0,1
23,1,4.3384,1.2215,0,0,1
24,0,26.9969,0.31742,0,0,1
25,0,4.5366,0.78774,0,0,1
26,0,2.4787,0.52343,1,0,0
