1,0,3.9972,3.8049,,
2,1,3.3771,1.1782,0,0,1
3,1,9.7799,1.1805,0,0,1
4,0,4.4625,1.9724,1,0,0
5,0,2.8911,0.74392,1,0,0
6,0,3.0272,0.83526,0,0,1
7,1,10.5238,1.0399,0,0,1
8,1,3.2178,1.1534,0,1,0
9,1,4.3152,1.0067,0,1,0
10,1,8.4911,0.8161,0,0,1
11,0,6.3476,0.94999,0,0,1
12,0,4.4745,1.6399,1,0,0
13,0,9.1598,0.83395,0,0,0
14,1,7.6252,1.3605,0,1,0
15,1,5.3311,1.3417,0,0,1
16,0,9.9298,0.82887,0,0,1
17,1,12.4378,1.0046,0,0,0
18,0,3.2686,1.9219,0,0,1
19,0,7.4761,2.1855,0,0,1
20,0,4.5205,1.0607,1,0,0
21,0,7.2898,1.2706,1,0,0
22,1,1.9107,0.94594,0,0,1
23,0,2.8951,0.95796,0,0,1
24,0,8.7278,0.92329,0,0,1
25,1,4.8584,1.0632,0,0,1
26,1,10.9497,1.1124,0,1,0
