1,0,2.1638,0.31739,,
2,1,1.3913,0.68853,0,1,0
3,1,1.0845,0.8813,0,0,1
4,1,1.1472,0.7967,0,1,0
5,0,1.5556,0.73339,1,0,0
6,0,1.2365,0.44365,0,0,1
7,0,1.3412,0.62388,0,0,1
8,1,1.5398,0.61526,0,1,0
9,0,1.6131,0.62087,1,0,0
10,1,0.92995,0.73175,0,0,1
11,0,2.1084,1.0246,1,0,0
12,0,1.4309,0.66936,1,0,0
13,0,1.5725,0.83015,0,0,1
14,0,1.5572,0.2234,1,0,0
15,1,1.4899,0.25543,0,0,1
16,0,1.3213,0.61238,0,0,1
17,1,1.8992,0.8233,0,0,1
18,1,0.98104,0.72658,0,1,0
19,1,1.3605,0.66653,0,1,0
20,1,1.4512,0.79343,0,1,0
21,1,2.3612,0.57861,0,1,0
22,0,1.2866,0.93122,0,0,1
23,0,1.3152,0.67851,0,0,1
24,1,1.6142,0.66121,0,1,0
25,0,1.5839,0.71258,0,0,1
26,0,1.0885,0.62178,0,0,1
