1,0,2.2961,1.4044,,
2,1,0.90934,0.25762,0,1,0
3,1,0.68972,0.55059,0,0,1
4,0,1.0126,0.8766,0,0,1
5,0,0.78608,0.30767,0,0,1
6,0,0.97596,0.62574,0,0,1
7,1,1.0433,0.15424,0,0,1
8,1,0.72938,0.72379,0,1,0
9,1,2.4631,0.52452,0,1,0
10,1,0.76866,0.41045,0,1,0
11,0,1.1928,1.0665,0,0,1
12,0,0.67139,0.50098,0,0,1
13,0,0.75802,0.65657,0,0,1
14,1,0.86278,0.32445,0,0,1
15,1,1.0774,0.69885,0,1,0
16,0,0.98519,0.68166,1,0,0
17,1,0.70795,0.48063,0,0,0
18,0,0.88191,0.71894,1,0,0
19,0,0.96905,0.57856,1,0,0
20,0,0.73143,0.27835,0,0,1
21,0,0.7614,0.34771,1,0,0
22,1,0.8161,0.93571,0,0,0
23,0,0.90197,0.42623,0,0,1
24,0,0.94068,0.33569,0,0,1
25,1,0.90527,0.49352,0,0,1
26,1,0.8726,0.38308,0,1,0
