1,0,3.1444,1.4265,,
2,1,2.0981,0.4305,0,0,1
3,0,1.3772,0.26663,0,0,1
4,1,2.8626,0.77134,0,0,1
5,0,3.0631,0.28452,1,0,0
6,1,1.9188,0.27183,0,0,1
7,1,1.6121,0.14766,0,0,1
8,1,2.1912,0.6002,0,1,0
9,1,1.5546,0.14097,0,1,0
10,1,3.3549,0.26146,0,0,1
11,1,1.8793,0.40399,0,1,0
12,0,2.3451,0.20331,1,0,0
13,1,3.0765,0.17834,0,0,1
14,0,2.2145,0.80579,1,0,0
15,1,2.1326,1.9349,0,1,0
16,0,1.2892,1.1019,0,0,1
17,0,2.4258,0.27917,0,0,1
18,0,1.5408,0.41515,1,0,0
19,1,2.6411,0.23205,0,1,0
20,0,2.3452,0.34721,0,0,1
21,0,1.4392,0.29175,0,0,1
22,0,2.1472,0.55734,0,0,1
23,0,1.2598,0.25065,0,0,1
24,0,2.4072,0.81563,0,0,1
25,0,1.9572,0.81481,0,0,1
26,1,1836,0.26669,0,1,0
