1,0,1.7224,0.44543,,
2,1,1.2535,2.0592,0,0,0
3,1,1.2586,0.83286,0,0,1
4,0,1.2897,1.0951,0,0,1
5,0,1.0239,1.232,1,0,0
6,0,4.5224,1.4134,0,0,1
7,0,1.198,2.734,1,0,0
8,1,1.6112,1.0763,0,1,0
9,0,1.4185,0.55365,0,0,0
10,0,2.4586,2.4807,1,0,0
11,1,1.1318,1.3184,0,0,1
12,0,2.8119,0.73144,1,0,0
13,1,3.1184,0.95396,0,0,1
14,0,1.4465,0.78789,1,0,0
15,1,2.3312,0.36662,0,1,0
16,0,1.4726,0.85444,1,0,0
17,0,2.5151,0.95069,0,0,1
18,1,1.3425,0.75325,0,1,0
19,0,0.91658,0.64001,1,0,0
20,0,1.0738,0.71147,0,0,1
21,1,1.5628,0.70814,0,0,1
22,1,1.8366,0.72337,0,0,1
23,1,1.202,1.3225,0,0,1
24,1,1.2525,0.82671,0,0,1
25,0,1.901,0.98522,0,0,0
26,1,1.1111,0.87517,0,1,0
