1,0,2.3379,0.28518,,
2,0,3.58,0.28537,0,0,1
3,0,1.1814,0.4687,0,0,1
4,1,1.3273,0.20285,0,0,0
5,1,1.1446,0.95346,0,0,0
6,0,1.364,0.16573,0,0,1
7,0,1.1437,0.28992,0,0,1
8,0,2.8793,0.91458,0,0,1
9,0,0.84415,0.38786,0,0,1
10,1,2.0183,0.70388,0,0,1
11,0,2.2321,0.53611,0,0,1
12,0,0.88393,0.20919,1,0,0
13,0,1.3326,0.60147,0,0,0
14,1,3.8821,0.50903,0,1,0
15,1,1.4741,0.28041,0,1,0
16,0,1.2136,0.2494,0,0,1
17,1,3.4814,0.92667,0,0,1
18,1,0.93678,0.27535,0,1,0
19,1,1.5387,0.28356,0,0,1
20,0,3.0333,0.26467,1,0,0
21,0,1.0186,0.31416,1,0,0
22,1,2.11,0.41849,0,0,1
23,1,1.4499,0.85656,0,1,0
24,0,1.7662,0.25563,1,0,0
25,1,2.5031,0.36373,0,0,0
26,1,1.1134,0.2101,0,1,0
