1,0,3.9186,2.0255,,
2,1,1.705,0.25352,0,0,1
3,0,1.7035,0.42135,0,0,1
4,0,2.598,0.55036,0,0,1
5,0,6.736,0.83517,1,0,0
6,1,2.775,0.81644,0,0,1
7,0,1.6774,0.45098,1,0,0
8,1,1.3534,0.23611,0,1,0
9,1,1.7334,0.47978,0,1,0
10,1,4.8313,0.56641,0,1,0
11,0,2.7955,2.4996,0,0,1
12,1,1.9694,0.37877,0,1,0
13,1,9.0866,0.35599,0,0,1
14,0,1.9734,0.391,1,0,0
15,1,1.4341,0.52907,0,1,0
16,0,1.7454,0.35627,1,0,0
17,1,4.9341,0.54572,0,0,0
18,0,1.2539,0.67626,1,0,0
19,1,1.5761,0.32182,0,1,0
20,0,1.2602,0.28237,1,0,0
21,0,3.7495,0.85586,1,0,0
22,0,3.1568,2.4229,0,0,0
23,1,1.3221,0.80778,0,0,1
24,0,7.4995,0.20804,1,0,0
25,0,5.6161,2.9843,0,0,0
26,1,4.7073,2.1751,0,1,0
