1,0,1.848,0.23121,,
2,1,0.67147,1.365,0,0,1
3,0,1.4021,0.23419,1,0,0
4,1,1.0462,0.73226,0,1,0
5,0,1.366,0.71161,1,0,0
6,1,1.1122,0.20404,0,1,0
7,1,1.1494,0.67144,0,0,1
8,1,1.1601,1.4112,0,1,0
9,1,0.77671,0.56361,0,1,0
10,1,1.4141,0.52597,0,1,0
11,1,1.8435,0.89841,0,0,1
12,0,1.0346,0.6504,1,0,0
13,1,0.65201,0.85868,0,0,0
14,0,1.2642,0.6379,1,0,0
15,1,1.8347,0.23364,0,1,0
16,0,1.4907,0.86391,1,0,0
17,0,1.1381,0.41836,0,0,1
18,0,1.5119,0.21844,1,0,0
19,1,1.5267,0.90656,0,0,1
20,0,1.2726,0.41382,1,0,0
21,0,1.988,0.97107,0,0,1
22,0,1.3507,0.17956,0,0,1
23,0,1.6983,0.47024,0,0,1
24,0,4.1188,0.083018,0,0,0
25,0,2.526,1.1625,0,0,1
26,1,0.68282,0.77575,0,0,1
