1,0,1.6379,0.90787,,
2,0,2.2973,1.9259,1,0,0
3,0,4.3212,0.59711,0,0,1
4,1,2.6646,0.8779,0,0,1
5,0,6.6913,0.4547,1,0,0
6,0,1.8173,0.73777,0,0,1
7,0,2.677,1.3775,0,0,1
8,0,5.7553,0.62896,1,0,0
9,1,1.8289,0.82824,0,1,0
10,0,3.5128,0.80424,1,0,0
11,1,2.6908,9.6403,0,0,0
12,1,2.0713,0.58935,0,1,0
13,1,5.378,0.55558,0,1,0
14,0,2.254,1.1242,1,0,0
15,0,2.4558,0.84656,0,0,1
16,0,2.4779,1.0098,0,0,1
17,1,4.126,0.37873,0,0,1
18,1,1.9686,0.61621,0,0,1
19,1,3.5979,0.4063,0,0,1
20,0,2.1199,0.8594,1,0,0
21,1,2.3207,0.91638,0,0,1
22,0,1.6847,0.62549,0,0,1
23,0,1.4246,0.8163,0,0,1
24,1,1.357,0.53537,0,0,0
25,1,3.5437,0.91507,0,1,0
26,1,2.0027,0.96342,0,1,0
