1,0,5.1044,0.13032,,
2,1,3.4472,0.22143,0,1,0
3,0,1.7659,0.66365,0,0,1
4,1,1.0372,1.2205,0,0,0
5,0,1.5113,1.0916,1,0,0
6,0,1.1567,0.71066,0,0,1
7,1,1.5398,0.73483,0,0,1
8,1,2.5406,0.28237,0,1,0
9,0,1.3733,0.67849,0,0,1
10,0,1.7644,1.0299,1,0,0
11,0,2.9203,0.67605,0,0,1
12,0,1.4386,0.25378,1,0,0
13,1,2.5012,0.88894,0,0,0
14,1,2.4858,0.48275,0,0,1
15,0,3.1458,0.82853,1,0,0
16,1,1.1465,0.94121,0,0,1
17,1,1.7646,0.62182,0,0,1
18,1,0.9666,0.68002,0,1,0
19,1,1.4645,0.5819,0,0,1
20,1,1.1605,0.69085,0,1,0
21,0,1.5456,0.77122,1,0,0
22,1,2.2466,1.0764,0,1,0
23,0,1.6739,0.67933,1,0,0
24,0,4.7952,0.4032,0,0,0
25,0,1.4824,0.67124,0,0,1
26,0,1.4392,1062,1,0,0
