1,0,4.791,1.7135,,
2,0,3.0924,1.3307,0,0,1
3,0,1.7313,0.14275,0,0,1
4,1,2.3697,0.72925,0,0,1
5,0,2.4582,0.58286,0,0,1
6,0,3.0695,0.78782,0,0,1
7,0,1.3998,1.5041,0,0,0
8,0,5.3872,0.38118,1,0,0
9,1,3.9259,1.7311,0,1,0
10,0,6.6702,2.2364,1,0,0
11,1,3.2699,0.89183,0,1,0
12,1,2.2725,0.87046,0,1,0
13,1,3.5252,0.60873,0,0,1
14,0,4.3431,0.9873,1,0,0
15,0,4.0245,1.0652,1,0,0
16,0,3.2265,1.2751,0,0,1
17,1,4.4441,0.79476,0,0,1
18,1,1.4559,0.80654,0,1,0
19,1,1.6127,0.34775,0,1,0
20,0,1.2466,0.50179,1,0,0
21,1,2.4758,0.66659,0,0,1
22,0,7.085,0.69766,0,0,1
23,0,3.6593,0.68121,0,0,1
24,1,3.7084,0.8731,0,1,0
25,1,4.9712,0.52568,0,0,0
26,1,2.5432,0.4327,0,1,0
