1,0,2.4601,0.21771,,
2,1,2.5465,0.55667,0,1,0
3,1,1.1332,0.20771,0,0,1
4,0,4.8585,0.21513,0,0,1
5,0,2.848,0.53355,1,0,0
6,0,1.9441,0.3226,0,0,1
7,0,2.0377,0.54871,0,0,1
8,1,4.2498,0.25644,0,1,0
9,0,2.1722,0.18914,1,0,0
10,0,2.7692,0.60287,0,0,1
11,1,3.5531,0.98705,0,0,1
12,0,2.2046,0.54067,1,0,0
13,1,5.9511,0.39287,0,1,0
14,0,1.8472,0.26929,1,0,0
15,1,3.6886,0.22109,0,1,0
16,0,1.7212,0.38066,1,0,0
17,0,3.0218,0.26105,0,0,1
18,1,1.4826,0.25531,0,1,0
19,0,2.9366,0.23515,1,0,0
20,0,1.9612,0.26686,1,0,0
21,1,2.9145,1.2304,0,0,1
22,1,1.1785,0.41134,0,0,1
23,1,1.3273,0.80214,0,0,1
24,1,2.0178,0.40141,0,0,1
25,0,5.365,0.4545,0,0,1
26,1,2.4486,0.2627,0,1,0
