1,0,4.2131,1.2132,,
2,0,1.9525,1.0506,0,0,1
3,0,1.1292,0.33989,0,0,1
4,1,2.544,0.27471,0,1,0
5,1,1.6351,0.31392,0,1,0
6,0,6.4185,0.42557,1,0,0
7,0,1.1278,0.47796,0,0,1
8,0,1.0291,0.30754,1,0,0
9,0,1.3982,0.86199,0,0,1
10,1,1.0899,0.38255,0,0,1
11,0,1.7692,0.33052,1,0,0
12,0,5.0711,0.40465,0,0,1
13,0,4.7178,0.99335,0,0,0
14,1,1.5184,0.24189,0,1,0
15,1,3.2498,0.98361,0,1,0
16,0,2.4378,0.28428,1,0,0
17,1,1.1345,1.0821,0,0,1
18,1,1.7326,0.80731,0,1,0
19,1,1.4366,0.45149,0,1,0
20,0,0.8312,0.20643,0,0,1
21,0,1.4871,0.42869,0,0,1
22,1,1.0859,0.62656,0,0,1
23,1,3.1298,1.4768,0,0,0
24,0,1.2871,0.51609,0,0,0
25,1,3.5258,0.78542,0,0,0
26,1,1.3858,0.666,0,1,0
