1,0,1.5932,0.84951,,
2,0,1.0452,0.29899,0,0,1
3,0,0.93176,2.5507,0,0,1
4,1,0.7387,0.60536,0,0,1
5,1,0.95452,0.50864,0,1,0
6,0,11.2632,2.8932,0,0,0
7,0,0.95443,1.6372,0,0,1
8,0,1.3839,0.21633,1,0,0
9,0,1.1744,0.87181,1,0,0
10,1,1.7438,0.92269,0,0,1
11,0,1.428,0.45882,0,0,1
12,0,1.745,0.48254,1,0,0
13,0,3.6767,0.58583,1,0,0
14,1,0.68619,0.72257,0,1,0
15,1,3.4731,0.82223,0,1,0
16,0,1.3786,1.164,0,0,1
17,1,2.8373,0.6284,0,0,1
18,1,1.3086,0.56085,0,1,0
19,1,0.92576,0.26461,0,1,0
20,0,0.057267,2.0392,0,0,1
21,0,3.6923,0.58432,0,0,1
22,1,1.6854,0.48139,0,0,1
23,1,8.4065,1.1265,0,0,1
24,0,3.8633,1.0846,0,0,1
25,1,8.5084,0.4321,0,0,0
26,1,1.4245,0.70405,0,1,0
