1,0,6.4024,2.1469,,
2,0,12.235,0.28319,0,0,1
3,0,3.8132,0.10995,0,0,1
4,1,3.5094,0.69873,0,0,1
5,1,5.7786,0.23088,0,1,0
6,0,12.4025,0.16349,1,0,0
7,0,15.3417,0.1539,1,0,0
8,0,2.6864,0.12458,1,0,0
9,0,5.7432,0.29924,1,0,0
10,1,10.3278,0.12397,0,1,0
11,0,45.9334,0.73819,0,0,0
12,0,5.9371,0.22098,1,0,0
13,0,8.0293,0.42119,0,0,1
14,1,15.0965,0.31807,0,1,0
15,1,5.3124,0.38925,0,1,0
16,0,2.7693,0.14002,1,0,0
17,1,2.947,0.32646,0,0,1
18,1,2.2591,0.17062,0,1,0
19,1,5.9885,0.25348,0,0,1
20,0,3.8839,0.41009,1,0,0
21,0,3.8005,0.29802,0,0,1
22,1,11.2405,0.39276,0,1,0
23,1,15.629,1.2316,0,0,1
24,0,12.6791,0.45293,0,0,1
25,1,41.069,1.827,0,1,0
26,1,4.5912,0.16919,0,1,0
