1,0,11.6586,1.1043,,
2,0,5.0295,2.3399,0,0,1
3,0,6.876,1.0178,0,0,1
4,0,5.8548,1.0212,0,0,1
5,0,13.8793,0.62047,1,0,0
6,0,13.6287,1.0038,0,0,1
7,1,2.1199,1.5075,0,0,1
8,0,8.5287,0.83055,0,0,1
9,1,6.2573,1.0797,0,1,0
10,0,2.8032,1.2837,1,0,0
11,1,5.8747,1.0001,0,0,1
12,1,2.3061,1.3509,0,1,0
13,1,11.6194,0.96319,0,1,0
14,0,8.2746,0.20015,1,0,0
15,1,1.9534,1.2118,0,1,0
16,1,2.712,0.97965,0,1,0
17,0,14.5333,1.2889,0,0,1
18,1,1.9359,1.0111,0,1,0
19,0,2.5915,1.4007,0,0,1
20,1,2.6094,2.3377,0,0,1
21,1,8.2668,1.8332,0,1,0
22,0,7.6009,0.27387,1,0,0
23,1,4.2301,0.93278,0,0,1
24,1,4.664,1.1743,0,0,1
25,0,5.8285,0.85973,1,0,0
26,0,5.512,0.95523,1,0,0
