1,0,1.552,0.38569,,
2,1,1.3447,0.72401,0,0,1
3,1,2.9894,1.3985,0,0,1
4,0,2.3513,0.88212,0,0,1
5,0,1.2953,1.7482,0,0,1
6,0,1.2467,0.58181,0,0,1
7,0,1.0743,0.5199,0,0,1
8,1,1.6213,0.81293,0,1,0
9,0,1.7886,0.91763,1,0,0
10,0,1.0254,0.68108,1,0,0
11,1,1.2339,0.90523,0,0,1
12,0,2.1366,0.54722,1,0,0
13,1,3.0954,1.3238,0,0,1
14,0,1.3709,0.71646,1,0,0
15,1,2.7161,1.1357,0,0,1
16,0,1.4288,1.3582,1,0,0
17,0,4.1112,0.65972,0,0,1
18,1,1.2381,0.80509,0,1,0
19,0,1.7227,0.83826,0,0,1
20,0,2.7462,0.91634,0,0,1
21,1,1.7262,0.73783,0,0,1
22,1,1.8334,0.59307,0,0,1
23,1,1.6814,0.91032,0,0,1
24,1,1.5013,0.79372,0,0,1
25,0,0.89541,0.95942,0,0,0
26,1,2.2653,0.67905,0,1,0
