1,0,27.7523,0.24181,,
2,0,2.0718,0.15713,0,0,1
3,0,1.4746,0.37551,0,0,1
4,1,1.9906,0.18596,0,1,0
5,1,2.7644,0.55741,0,1,0
6,0,2.2645,0.27801,0,0,1
7,0,1.5112,0.49203,0,0,1
8,0,1.241,0.21604,0,0,1
9,0,0.97839,0.2193,0,0,1
10,1,1.7913,0.13564,0,1,0
11,0,1.5852,0.15403,0,0,1
12,0,1.3105,0.79515,0,0,0
13,0,1.2345,0.4817,0,0,0
14,1,1.2711,0.14846,0,1,0
15,1,2.0455,0.45936,0,0,0
16,0,1.7232,0.12503,1,0,0
17,1,1.2165,0.14395,0,0,1
18,1,1.3917,0.26408,0,1,0
19,1,2.549,0.20785,0,0,1
20,0,1.3468,0.092402,0,0,1
21,0,2.6859,0.8112,0,0,1
22,1,1.4006,0.20058,0,0,1
23,1,2.0584,0.28898,0,0,1
24,0,1.1891,0.30999,0,0,0
25,1,1.8545,0.10101,0,0,1
26,1,1.8091,0.73808,0,1,0
