;"CorrectaConSubliminal";"CorrectaCon3Imágenes";"IncorrectaPeroConCiertoSentido"
"1,Test,0,10.2717,1.3873,animal";;;
"2,Alcohol,0,1.4327,1.3278,bebida";0;0;1
"3,Avion,0,1.3079,0.26271,";0;0;
"4,Barco,1,0.78321,3.1279,marinero";0;0;1
"5,Biblioteca,0,1.9532,1.2269,lectura";0;0;1
"6,Campo,0,2.1685,2.4183,viento";0;0;0
"7,Cementerio,0,1.2446,0.7953,muesrte";0;0;1
"8,Circo,0,1.0118,2.6044,diversion";0;0;1
"9,Cocina,1,1.3811,0.13388,omida";0;0;1
"10,Comida,0,1.0549,0.9731,comida";1;0;0
"11,Computadora,1,0.87701,1.5629,camara";0;0;1
"12,Desayuno,1,0.81983,1.1548,";0;0;0
"13,Equipo,1,1.1258,1.8252,juntos";0;0;1
"14,Espacio,0,1.6945,0.83468,espacio";1;0;0
"15,Fiesta,0,1.3385,1.0053,frio";0;0;0
"16,Fuego,0,0.86586,1.1998,fuego";1;0;0
"17,Granjero,1,2.5692,1.2666,animal";0;0;1
"18,Guerra,1,1.8133,0.56516,guerra";0;1;0
"19,Laboratorio,1,3.5985,0.74212,ciencia";0;0;1
"20,Lluvia,0,1.0538,0.65194,agua";0;0;1
"21,Medico,1,2.1185,1.578,medico";0;1;0
"22,Navidad,0,0.82664,1.026,fiesta";0;0;1
"23,Pintor,0,0.87253,2.1388,pintura";0;0;1
"24,Plomero,1,4.3058,0.92579,herramienta";0;0;1
"25,Robo,1,2.005,1.3577,oro";0;0;1
"26,Television,1,2.9891,0.69257,television";0;1;0
