;"CorrectaConSubliminal";"CorrectaCon3Imágenes";"IncorrectaPeroConCiertoSentido"
"1,Test,0,4.0832,0.96769,desierto";;;
"2,Alcohol,1,2.6328,1.2398,bebida";0;0;1
"3,Avion,1,3.1326,0.38393,vuelo";0;0;1
"4,Barco,0,1.8846,0.3057,capitan";0;0;1
"5,Biblioteca,0,4.1692,1.9304,biblioteca";1;0;0
"6,Campo,0,3.7515,1.1136,granja";0;0;1
"7,Cementerio,0,2.7628,0.39613,muerto";0;0;1
"8,Circo,1,1.8765,0.44242,circo";0;1;0
"9,Cocina,0,2.6206,0.59642,gourmet";0;0;1
"10,Comida,0,4.3071,0.59179,picnic";0;0;1
"11,Computadora,1,3.9052,0.44569,robot";0;0;0
"12,Desayuno,0,1.1737,0.83063,desayuno";1;0;0
"13,Equipo,1,3.1583,0.48776,playa";0;0;0
"14,Espacio,0,1.34,0.79089,espacio";1;0;0
"15,Fiesta,1,2.153,0.29072,fiesta";0;1;0
"16,Fuego,0,2.2086,0.47253,fuergo";1;0;0
"17,Granjero,0,4.818,0.53827,granja";0;0;1
"18,Guerra,1,1.906,0.35284,milico";0;0;1
"19,Laboratorio,0,3.8041,0.40606,mariano";0;0;0
"20,Lluvia,0,4.156,0.39096,clima";0;0;1
"21,Medico,1,2.8593,0.44983,medico";0;1;0
"22,Navidad,1,2.2375,0.068797,annavidad";0;1;0
"23,Pintor,1,3.3553,0.52574,pintor";0;1;0
"24,Plomero,1,1.5109,0.77929,plomero";0;1;0
"25,Robo,0,2.5576,0.37544,banco";0;0;1
"26,Television,1,3.0153,0.52714,tlevision";0;1;0
