;"CorrectaConSubliminal";"CorrectaCon3Imágenes";"IncorrectaPeroConCiertoSentido"
"1,Test,0,1.6379,0.90787,desierto";;;
"2,Alcohol,0,2.2973,1.9259,alcohol";1;0;0
"3,Avion,0,4.3212,0.59711,vuelo";0;0;1
"4,Barco,1,2.6646,0.8779,naval";0;0;1
"5,Biblioteca,0,6.6913,0.4547,bibilioteca";1;0;0
"6,Campo,0,1.8173,0.73777,granja";0;0;1
"7,Cementerio,0,2.677,1.3775,muerte";0;0;1
"8,Circo,0,5.7553,0.62896,circo";1;0;0
"9,Cocina,1,1.8289,0.82824,cocina";0;1;0
"10,Comida,0,3.5128,0.80424,comida";1;0;0
"11,Computadora,1,2.6908,9.6403,accesorio";0;0;0
"12,Desayuno,1,2.0713,0.58935,desayuno";0;1;0
"13,Equipo,1,5.378,0.55558,equipo";0;1;0
"14,Espacio,0,2.254,1.1242,espacio";1;0;0
"15,Fiesta,0,2.4558,0.84656,cumpleaos";0;0;1
"16,Fuego,0,2.4779,1.0098,incendio";0;0;1
"17,Granjero,1,4.126,0.37873,campo";0;0;1
"18,Guerra,1,1.9686,0.61621,ejercito";0;0;1
"19,Laboratorio,1,3.5979,0.4063,experimento";0;0;1
"20,Lluvia,0,2.1199,0.8594,lluvia";1;0;0
"21,Medico,1,2.3207,0.91638,medicina";0;0;1
"22,Navidad,0,1.6847,0.62549,fiesta";0;0;1
"23,Pintor,0,1.4246,0.8163,pintura";0;0;1
"24,Plomero,1,1.357,0.53537,ferreteria";0;0;0
"25,Robo,1,3.5437,0.91507,robo";0;1;0
"26,Television,1,2.0027,0.96342,tv";0;1;0
