;"CorrectaConSubliminal";"CorrectaCon3Imágenes";"IncorrectaPeroConCiertoSentido"
"1,Test,0,0.85581,0.63794,decierto";;;
"2,Alcohol,1,1.0946,3.1392,boliche";0;0;0
"3,Avion,1,0.99716,0.68532,viaje";0;0;1
"4,Barco,0,1.0777,0.53966,amarina";0;0;1
"5,Biblioteca,0,1.9732,1.0065,biblioteca";1;0;0
"6,Campo,0,1.4891,0.45405,campo";1;0;0
"7,Cementerio,0,1.156,0.95778,funeral";0;0;1
"8,Circo,1,1.8398,0.4947,circo";0;1;0
"9,Cocina,0,1.1608,0.1947,comida";0;0;1
"10,Comida,0,1.2052,0.8774,comida";1;0;0
"11,Computadora,1,1.1898,0.50259,tecnologia";0;0;1
"12,Desayuno,0,1.5118,0.88319,mac";0;0;0
"13,Equipo,1,1.6892,1.1814,deporte";0;0;1
"14,Espacio,0,2.6878,0.84452,espacio";1;0;0
"15,Fiesta,1,1.6697,0.6271,fiesta";0;1;0
"16,Fuego,0,1.248,0.69402,fuego";1;0;0
"17,Granjero,0,1.8999,1.9967,campo";0;0;1
"18,Guerra,1,1.4132,0.52446,guerra";0;1;0
"19,Laboratorio,0,1.1238,1.0077,laboratirio";1;0;0
"20,Lluvia,0,1.3279,0.46711,clima";0;0;1
"21,Medico,1,1.6786,0.61928,meidcicina";0;0;1
"22,Navidad,1,2.0913,1.5359,fiersta";0;0;1
"23,Pintor,1,1.0739,0.47132,mural";0;0;1
"24,Plomero,1,1.6219,1.3812,traajbajo";0;0;1
"25,Robo,0,1.0137,0.7257,banco";0;0;1
"26,Television,1,1.9911,2.3433,comunicacion";0;0;1
