,,,,,,CorrectaConSubliminal,CorrectaCon3Imágenes,IncorrectaPeroConCiertoSentido
1,Test,0,3.1444,1.4265,desierto,,,
2,Alcohol,1,2.0981,0.4305,fiesta,0,0,1
3,Avion,0,1.3772,0.26663,viaje,0,0,1
4,Barco,1,2.8626,0.77134,agua,0,0,1
5,Biblioteca,0,3.0631,0.28452,biblioteca,1,0,0
6,Campo,1,1.9188,0.27183,granja,0,0,1
7,Cementerio,1,1.6121,0.14766,funeral,0,0,1
8,Circo,1,2.1912,0.6002,circo,0,1,0
9,Cocina,1,1.5546,0.14097,cocina,0,1,0
10,Comida,1,3.3549,0.26146,grsa,0,0,1
11,Computadora,1,1.8793,0.40399,computadora,0,1,0
12,Desayuno,0,2.3451,0.20331,desayuno,1,0,0
13,Equipo,1,3.0765,0.17834,deporte,0,0,1
14,Espacio,0,2.2145,0.80579,espacioo,1,0,0
15,Fiesta,1,2.1326,1.9349,fiesta,0,1,0
16,Fuego,0,1.2892,1.1019,bomberos,0,0,1
17,Granjero,0,2.4258,0.27917,granja,0,0,1
18,Guerra,0,1.5408,0.41515,guerra,1,0,0
19,Laboratorio,1,2.6411,0.23205,laboratoriao,0,1,0
20,Lluvia,0,2.3452,0.34721,clima,0,0,1
21,Medico,0,1.4392,0.29175,medicina,0,0,1
22,Navidad,0,2.1472,0.55734,fiesta,0,0,1
23,Pintor,0,1.2598,0.25065,pintura,0,0,1
24,Plomero,0,2.4072,0.81563,plomeria,0,0,1
25,Robo,0,1.9572,0.81481,dinero,0,0,1
26,Television,1,1836,0.26669,television,0,1,0
