,,,,,,CorrectaConSubliminal,CorrectaCon3Imágenes,IncorrectaPeroConCiertoSentido
1,Test,0,2.1638,0.31739,camello,,,
2,Alcohol,1,1.3913,0.68853,alchol,0,1,0
3,Avion,1,1.0845,0.8813,viaje,0,0,1
4,Barco,1,1.1472,0.7967,barco,0,1,0
5,Biblioteca,0,1.5556,0.73339,biblioteca,1,0,0
6,Campo,0,1.2365,0.44365,granja,0,0,1
7,Cementerio,0,1.3412,0.62388,velatorio,0,0,1
8,Circo,1,1.5398,0.61526,circo,0,1,0
9,Cocina,0,1.6131,0.62087,cocina,1,0,0
10,Comida,1,0.92995,0.73175,helado,0,0,1
11,Computadora,0,2.1084,1.0246,pc,1,0,0
12,Desayuno,0,1.4309,0.66936,desayuno,1,0,0
13,Equipo,0,1.5725,0.83015,deporte,0,0,1
14,Espacio,0,1.5572,0.2234,espacio,1,0,0
15,Fiesta,1,1.4899,0.25543,cumpleaos,0,0,1
16,Fuego,0,1.3213,0.61238,incencddio,0,0,1
17,Granjero,1,1.8992,0.8233,granja,0,0,1
18,Guerra,1,0.98104,0.72658,guerra,0,1,0
19,Laboratorio,1,1.3605,0.66653,laboratorio,0,1,0
20,Lluvia,1,1.4512,0.79343,lluvia,0,1,0
21,Medico,1,2.3612,0.57861,medico,0,1,0
22,Navidad,0,1.2866,0.93122,fiesta,0,0,1
23,Pintor,0,1.3152,0.67851,pintor,0,0,1
24,Plomero,1,1.6142,0.66121,plomero,0,1,0
25,Robo,0,1.5839,0.71258,banco,0,0,1
26,Television,0,1.0885,0.62178,comunicacion,0,0,1
