"The Notebook - Nicholas Sparks",4.0,0446676098,3.50100483768,3.41160190165,5.13383919784,91.8449504604,7.18748338818,24.7719703435,7.5765903885,1.53402646503,7.857716142,3.96997127911,1.21181659657,12.2860743541,3174.0,0.105113344958,154813,47256,38996,4099,3174,1,4869,2216,8920,1117,439,171,1393,203,152,80,151,80
"White Oleander - Janet Fitch",4.0,0316182540,3.81197849037,3.6180543595,5.61504167914,88.6661381161,6.95300642965,25.4596633662,7.45521437379,1.61094601288,8.57881860734,4.07038355914,1.25578569572,11.7530955919,12114.0,0.0931330200805,579529,178795,142377,13260,12114,1,19515,8015,39308,3792,1635,367,5577,633,479,328,759,191
"The Pursuit (Sherring Cross)",2.0,1590860144,3.44088220277,3.20297899707,5.1928357845,90.9053011606,7.13771196871,26.2516177749,7.67569995701,1.69696969697,8.89541369699,4.00737392707,1.23215668799,11.5164956012,8184.0,0.0725933942345,377699,116132,94251,6842,8184,1,13888,5964,27981,3689,1147,591,2264,493,546,93,264,160
"Christopher A. Farrell Day Trade Online Wi - Desconocido",3.0,0471442992,2.22320080045,2.33220578053,5.25560263589,92.0757978295,5.96849747678,23.6982988693,7.08504637874,1.19453168299,9.04057880042,4.27306676151,1.26924347119,7.27212266765,10826.0,0.068374657047,336410,99925,78728,5383,10826,1,12932,6022,25146,3456,1362,274,1202,973,655,268,1020,454
"Ringworld Throne",2.5,0345412966,3.56324209928,3.37180580319,6.30809156187,85.175237109,5.93938282014,24.7661147012,6.99682426704,1.40443601583,8.68275763783,4.3324548899,1.33257680909,8.79188654354,12128.0,0.0862062497655,461961,142090,106628,9192,12128,1,17033,6458,31132,3370,1942,333,2523,477,457,296,1519,136
"Spencer Johnson Who Moved My Cheese_ An Am - Wealth Management",3.0,0399144463,3.08022134472,2.73860270392,5.40298002268,89.4244174027,6.39056139052,23.0299518078,7.3218449705,1.27388535032,7.68081716955,4.1511597827,1.27705441062,9.23328025478,1256.0,0.143571613348,48141,14810,11597,1665,1256,1,1600,782,2634,387,185,53,287,74,115,39,63,40
"Transact-SQL Programming",2.5,1565924010,5.21494313692,6.23419417057,9.90800339815,73.1332082024,9.18386027643,35.1314066095,9.09781681842,2.29589318912,11.3584937845,4.95211131578,1.47626595219,8.67949974649,29585.0,0.0564640182567,1271618,379080,256783,14499,29585,1,67924,36669,118577,7696,4313,335,2214,1878,5543,651,2200,1082
"Harry Potter 4",5.0,0439139597,5.71399595502,6.0132669771,7.51563304956,79.3728942192,8.16965672133,30.7982966506,8.15120199984,2.35675636678,9.15775491095,4.32005490316,1.33637842509,14.1916167665,13861.0,0.0603426363683,849798,262879,196710,11870,13861,1,32667,12260,60014,5955,1895,403,2388,447,1059,188,750,160
"THE SCREWTAPE LETTERS",5.0,0060093676,5.16205925302,4.34809743795,7.18061271407,75.8574315814,8.56742210888,28.8715918136,8.85269333663,1.88681672026,8.02495401108,4.41189526505,1.42826814205,9.9961414791,3110.0,0.1585499228,137157,44402,31088,4929,3110,1,5868,3551,7664,1349,650,174,608,342,489,67,242,112
"The Red Pony - John Steinbeck",3.0,0140177361,5.32819808259,5.2448491687,6.83302894503,81.0924920416,8.09148332325,28.3055480177,8.19966258226,2.0,8.43288771663,4.21927495394,1.32310068278,13.6041282713,2713.0,0.14313969871,155725,48833,36908,5283,2713,1,5426,2445,9634,957,313,109,690,178,244,69,266,47
"Gap Creek - Robert Morgan",3.5,0743203631,2.75254053845,2.56458894851,4.07636174287,97.2114199946,6.04497969522,22.0349232298,6.22752850483,1.19774567739,7.86458165065,3.79011685906,1.14838071826,12.2862770847,9138.0,0.0544481259798,425524,128931,112272,6113,9138,1,10945,3173,25730,4058,1405,649,3210,532,136,162,586,211
"Treason_ Liberal Treachery From the Cold W - Ann Coulter",3.0,1400050308,9.01901256917,9.58305136254,11.0454184671,59.0157720327,11.3372656481,42.5321332084,10.692442235,4.25203140063,11.4775076464,4.87900972106,1.55452020505,16.0658311527,7261.0,0.122807619113,569156,181341,116654,14326,7261,1,30874,14322,52041,3811,1198,264,859,846,1896,130,583,285
"Gail Carson Levine Ella Enchanted Trophy N - Desconocido",5.0,055352528,2.44654220369,1.8493684331,4.37835105741,93.3921513476,5.88459769887,22.0143957978,6.93791816602,1.16761041903,8.55076014771,3.99665904056,1.23403057704,8.91020870409,6181.0,0.113411046955,220112,67963,55074,6246,6181,1,7217,3195,15599,1841,1013,233,2098,385,255,186,395,176
"Three Junes - Julia Glass",3.5,0375422412,5.44116523317,5.48810879541,6.7998641945,81.5529015115,8.79305089055,30.2871350715,8.73793780634,2.28645007924,8.9774186021,4.19520851205,1.30910147494,14.3173534073,10096.0,0.107161634889,606409,189228,144548,15490,10096,1,23084,11080,42392,3534,1788,398,3098,845,950,277,529,326
"The Beach House",3.0,0316969680,4.32567246111,4.04183573191,6.02871242658,85.4784132437,7.63899496782,27.8138703087,8.05023623145,1.89884183858,9.35114753533,4.13084351122,1.29012995608,12.0311255881,5526.0,0.130437398472,274635,85773,66484,8672,5526,1,10493,4698,21549,2032,423,165,1599,419,426,152,322,163
"Jerry Spinelli Stargirl Readers Circle - Desconocido",4.5,0807205710,2.81744180738,2.3892009419,5.08617658576,90.4871106456,5.98899864815,24.1377994027,7.03944347905,1.34789846026,8.51020748967,4.12592803435,1.27002538011,8.77215980025,4806.0,0.134965250599,173945,53543,42159,5690,4806,1,6478,2614,11851,1424,347,202,1896,284,216,120,312,103
"How to Be Good",3.0,1573229326,1.01771085242,1.40446158061,4.11009994866,100.113142256,5.48523503859,21.3663951774,6.75525497152,1.00060859642,9.07166168243,4.11217681401,1.17831745753,6.93221757322,13145.0,0.109751547342,374718,107373,91124,10001,13145,1,13153,6179,29382,2718,1239,664,2493,839,554,260,395,238
"Eragon - Christopher Paolini",4.0,0966621336,4.32406125328,4.20098217585,6.60703264684,83.8095329373,7.10657107257,26.9133474027,7.7133416143,1.7546977817,8.78878454373,4.26478955966,1.32117618986,11.0876466997,14741.0,0.0702997375232,697050,215937,163443,11490,14741,1,25866,10916,47639,4940,2492,326,3891,807,833,423,1521,570
"The World of Robert Jordan's the Wheel of - Robert Jordan",3.0,0312869363,5.49816816817,4.92867082467,8.0642854,72.5411884962,7.87895587896,29.8475398475,8.39071693375,1.93162393162,8.78242145992,4.58918918919,1.47357357357,9.48717948718,351.0,0.324624624625,15282,4907,3330,1081,351,1,678,340,986,142,49,10,25,46,49,2,34,7
"Seizure",2.0,0399148760,5.60456462843,5.23197845136,7.59722656443,75.9553301733,8.82421048461,31.2009688515,9.02553053516,2.29176120804,9.13676535515,4.40463138684,1.40508103604,11.8323292387,12781.0,0.0800507839105,666108,212489,151229,12106,12781,1,29291,15468,47058,5852,1751,241,2450,950,1695,215,624,399
"Angels & Demons - Dan Brown",4.0,0671027360,4.41572879026,3.63108359548,6.86509190783,76.6357722363,6.94107011226,29.2369165007,7.70285453673,1.6200996837,9.52126812034,4.53219105618,1.44986839729,7.42892744177,20866.0,0.0998309808273,702544,224747,155012,15475,20866,1,33805,15383,54154,5152,1546,384,3144,993,1627,337,2377,459
"Left Behind v1.2 - Desconocido",4.0,0842342702,4.0787681477,3.66689842848,5.90334239845,85.7388564529,7.56779998041,26.5420551504,8.09457385651,1.71762336354,8.49146340547,4.14122213017,1.29722112164,11.1834843907,9930.0,0.0772520981162,459891,144059,111052,8579,9930,1,17056,8591,30244,3924,1822,406,2424,471,868,268,330,260
"Sams Teach Yourself Visual Basic 6 in 21 D - Desconocido",2.5,0672313103,4.08697883866,4.53957991839,8.024012204,78.08186284,6.87567697167,32.2497345831,7.61696261393,1.75235990118,11.3321655984,4.77936792563,1.4389108803,6.91751397738,38455.0,0.0372387815633,1271374,382769,266013,9906,38455,1,67387,27324,123868,3907,3757,101,1521,1377,6762,535,2255,1078
"The Amazing Adventures of Kavalier & Clay - Michael Chabon",4.0,0679450041,6.56207019181,6.48884034577,7.62065507675,75.0799136148,9.47724486868,32.3209436288,9.22402377044,2.60228879165,8.85933323274,4.31450051612,1.37508362019,15.1950858297,14855.0,0.0909078826704,973882,310388,225723,20520,14855,1,38657,19182,63888,6116,1871,371,3660,883,1734,290,1046,321
"Into Thin Air - Jon Krakauer",4.5,0553455893,9.67580544928,10.690840092,9.58315997074,63.7271006984,12.8815351701,43.3040703338,11.3368876616,4.68722280887,10.3139806622,4.55274687237,1.43537556248,21.3548046463,4735.0,0.113524205113,460351,145138,101115,11479,4735,1,22194,10970,35978,2992,801,245,817,768,1047,99,370,302
"The King of Torts - John Grisham",3.0,0385508050,4.67988226838,4.53258566039,6.88527188659,81.8770223853,7.81459004079,28.6966850495,8.27182902606,1.9738695519,8.64350002449,4.29832720391,1.33985253687,11.4349290599,9797.0,0.0894062198736,481533,150101,112028,10016,9797,1,19338,9076,31500,3947,1249,304,2211,512,901,208,970,256
"Stephen Chbosky The Perks of Being a Wallf - Desconocido",4.5,0671027344,2.7233742801,2.43792500218,4.26582179947,95.9244371885,6.3509540371,22.7049406347,6.90075187827,1.2886977887,7.97881644844,3.85239416752,1.17367105687,11.4462969463,5698.0,0.0643504392757,251257,76548,65221,4197,5698,1,7343,2890,15591,2376,692,800,2300,352,192,118,226,131
"House Corrino - Brian Herbert",3.0,0553110845,7.42424584616,7.51927028011,9.80170439591,65.5651202595,9.86999547797,37.3459594427,9.73590754745,3.20063553059,9.84715187762,4.73195447436,1.51000587929,13.3235294118,13532.0,0.0891044627109,853143,272245,180294,16065,13532,1,43311,20466,63369,3955,2767,349,2543,1313,2073,252,1654,540
"Core PHP Programming Using",2.5,0130893986,4.4610317607,4.88271774667,8.40543931829,74.124399135,8.06368627654,32.4939321299,8.0957932264,1.63047997413,11.3473476417,4.92825482907,1.49428258554,6.20127500346,21647.0,0.0744344043087,661564,200591,134239,9992,21647,1,35295,18737,62939,4652,2297,69,2023,535,4485,146,2171,952
