1,Test,0,2.1638,0.31739,camello
2,Alcohol,1,1.3913,0.68853,alchol
3,Avion,1,1.0845,0.8813,viaje
4,Barco,1,1.1472,0.7967,barco
5,Biblioteca,0,1.5556,0.73339,biblioteca
6,Campo,0,1.2365,0.44365,granja
7,Cementerio,0,1.3412,0.62388,velatorio
8,Circo,1,1.5398,0.61526,circo
9,Cocina,0,1.6131,0.62087,cocina
10,Comida,1,0.92995,0.73175,helado
11,Computadora,0,2.1084,1.0246,pc
12,Desayuno,0,1.4309,0.66936,desayuno
13,Equipo,0,1.5725,0.83015,deporte
14,Espacio,0,1.5572,0.2234,espacio
15,Fiesta,1,1.4899,0.25543,cumpleaos
16,Fuego,0,1.3213,0.61238,incencddio
17,Granjero,1,1.8992,0.8233,granja
18,Guerra,1,0.98104,0.72658,guerra
19,Laboratorio,1,1.3605,0.66653,laboratorio
20,Lluvia,1,1.4512,0.79343,lluvia
21,Medico,1,2.3612,0.57861,medico
22,Navidad,0,1.2866,0.93122,fiesta
23,Pintor,0,1.3152,0.67851,pintor
24,Plomero,1,1.6142,0.66121,plomero
25,Robo,0,1.5839,0.71258,banco
26,Television,0,1.0885,0.62178,comunicacion
