,,,,,,CorrectaConSubliminal,CorrectaCon3Imágenes,IncorrectaPeroConCiertoSentido
1,Test,0,2243,2.5213,camello,,,
2,Alcohol,1,1.3571,0.93493,bebidasd,0,0,1
3,Avion,0,0.97915,0.62051,viaje,0,0,1
4,Barco,0,1.0337,5.6967,navio,1,0,0
5,Biblioteca,0,1.7833,0.064451,avberinto,0,0,0
6,Campo,1,2.6046,0.74079,granja,0,0,1
7,Cementerio,0,3.9974,3.6459,cementerio,1,0,0
8,Circo,1,2.0498,1.64,circo,0,1,0
9,Cocina,1,1.4911,4.3678,ccocina,0,1,0
10,Comida,1,1.4738,0.079209,omida,0,1,0
11,Computadora,0,1.7148,2526,tecaldo,0,0,1
12,Desayuno,1,3.6459,0.10782,esayuno,0,1,0
13,Equipo,1,0.030084,6.4128,,0,0,0
14,Espacio,0,0.84876,1.2386,luna,0,0,1
15,Fiesta,1,2.2779,1.2745,fiesta,0,1,0
16,Fuego,0,2.8778,0.083225,ombero,0,0,1
17,Granjero,1,0.32182,0.92573,,0,0,0
18,Guerra,0,2.4199,0.32325,uerra,1,0,0
19,Laboratorio,1,2.3191,0.058592,iencia,0,0,1
20,Lluvia,0,3.8667,0.13646,luvia,1,0,0
21,Medico,0,2.4631,1.1802,enfermo,0,0,1
22,Navidad,0,1.3413,1.1277,ao,0,0,0
23,Pintor,1,1.7153,0.19848,ipintutra,0,0,1
24,Plomero,0,3.7339,0.28865,rreglo,0,0,1
25,Robo,0,4.6132,0.4926,dinero,0,0,1
26,Television,1,0.94919,1.3271,television,0,1,0
