1,Test,0,4.791,1.7135,desierto
2,Alcohol,0,3.0924,1.3307,bar
3,Avion,0,1.7313,0.14275,uelo
4,Barco,1,2.3697,0.72925,marinero
5,Biblioteca,0,2.4582,0.58286,archivo
6,Campo,0,3.0695,0.78782,granja
7,Cementerio,0,1.3998,1.5041,velorio
8,Circo,0,5.3872,0.38118,circo
9,Cocina,1,3.9259,1.7311,cocina
10,Comida,0,6.6702,2.2364,comida
11,Computadora,1,3.2699,0.89183,computadora
12,Desayuno,1,2.2725,0.87046,desayuno
13,Equipo,1,3.5252,0.60873,compaeristmo
14,Espacio,0,4.3431,0.9873,espacio
15,Fiesta,0,4.0245,1.0652,fiesta
16,Fuego,0,3.2265,1.2751,insendio
17,Granjero,1,4.4441,0.79476,campo
18,Guerra,1,1.4559,0.80654,guerra
19,Laboratorio,1,1.6127,0.34775,laboratorio
20,Lluvia,0,1.2466,0.50179,lluvia
21,Medico,1,2.4758,0.66659,medicina
22,Navidad,0,7.085,0.69766,aniversario
23,Pintor,0,3.6593,0.68121,pintar
24,Plomero,1,3.7084,0.8731,plomera
25,Robo,1,4.9712,0.52568,revolucion
26,Television,1,2.5432,0.4327,television
