;"CorrectaConSubliminal";"CorrectaCon3Imágenes";"IncorrectaPeroConCiertoSentido"
"1,Test,0,11.6586,1.1043,cactus";;;
"2,Alcohol,0,5.0295,2.3399,chupi";0;0;1
"3,Avion,0,6.876,1.0178,viaja";0;0;1
"4,Barco,0,5.8548,1.0212,mar";0;0;1
"5,Biblioteca,0,13.8793,0.62047,biblioteca";1;0;0
"6,Campo,0,13.6287,1.0038,granja";0;0;1
"7,Cementerio,1,2.1199,1.5075,muerte";0;0;1
"8,Circo,0,8.5287,0.83055,show";0;0;1
"9,Cocina,1,6.2573,1.0797,cocina";0;1;0
"10,Comida,0,2.8032,1.2837,comida";1;0;0
"11,Computadora,1,5.8747,1.0001,dispositivo";0;0;1
"12,Desayuno,1,2.3061,1.3509,desayuno";0;1;0
"13,Equipo,1,11.6194,0.96319,equipo";0;1;0
"14,Espacio,0,8.2746,0.20015,sespacio";1;0;0
"15,Fiesta,1,1.9534,1.2118,fiesta";0;1;0
"16,Fuego,1,2.712,0.97965,fuego";0;1;0
"17,Granjero,0,14.5333,1.2889,granja";0;0;1
"18,Guerra,1,1.9359,1.0111,guerra";0;1;0
"19,Laboratorio,0,2.5915,1.4007,experimento";0;0;1
"20,Lluvia,1,2.6094,2.3377,agua";0;0;1
"21,Medico,1,8.2668,1.8332,medico";0;1;0
"22,Navidad,0,7.6009,0.27387,avidad";1;0;0
"23,Pintor,1,4.2301,0.93278,pintura";0;0;1
"24,Plomero,1,4.664,1.1743,trabajo";0;0;1
"25,Robo,0,5.8285,0.85973,roobo";1;0;0
"26,Television,0,5.512,0.95523,television";1;0;0
