;"CorrectaConSubliminal";"CorrectaCon3Imágenes";"IncorrectaPeroConCiertoSentido"
"1,Test,0,4.8781,2.5317,desierto";;;
"2,Alcohol,1,2.2253,1.0412,tragos";0;0;1
"3,Avion,0,1.4813,0.82214,viaje";0;0;1
"4,Barco,1,3.273,1.8711,mar";0;0;1
"5,Biblioteca,1,4.4983,0.91061,biblioteca";0;1;0
"6,Campo,0,5.2847,1.0655,campo";1;0;0
"7,Cementerio,0,1.6411,0.86455,muerte";0;0;1
"8,Circo,1,5.98,2.7005,risa";0;0;1
"9,Cocina,1,3.8226,0.86064,cocina";0;1;0
"10,Comida,0,2.7142,1.1016,comida";1;0;0
"11,Computadora,0,6.8367,1.0358,computacion";0;0;1
"12,Desayuno,0,3.1635,0.79678,desayuno";1;0;0
"13,Equipo,1,7.0706,0.90929,union";0;0;1
"14,Espacio,1,2.7267,0.69113,espacio";0;1;0
"15,Fiesta,1,1.71,1.3951,fiesta";0;1;0
"16,Fuego,1,1.3093,0.84277,incencdio";0;0;1
"17,Granjero,0,5.7887,0.27783,osque";0;0;0
"18,Guerra,0,1.8708,1.1249,guerra";1;0;0
"19,Laboratorio,0,1.6707,1.1544,experimento";0;0;1
"20,Lluvia,0,4.4734,1.2072,lluvia";1;0;0
"21,Medico,1,3.5855,0.8585,estudios";0;0;0
"22,Navidad,1,1.9986,2.8208,anio";0;0;0
"23,Pintor,1,1.7047,1.253,pintor";0;1;0
"24,Plomero,0,3.3567,1.3591,obra";0;0;0
"25,Robo,0,3.2501,1.6484,robo";1;0;0
"26,Television,0,3.816,1.4659,tv";1;0;0
